Population Share,Free Market,Welfare Society,Egalitarian Utopia
0.255,0.004886657932382649,0.06256237951691199,0.15024057136312427
0.256,0.004905989681799171,0.06292474780505625,0.15097579734532088
0.257,0.004925330443044394,0.06328768409744277,0.15171269165039414
0.258,0.004944673828243258,0.06365062905517095,0.1524519493404861
0.259,0.004964017955098182,0.06401372384107305,0.1531912909240723
0.26,0.00498336776841149,0.06437735204809593,0.15393068629587064
0.261,0.005002718365265803,0.06474114323170455,0.15467147631295383
0.262,0.0050220699150622,0.06510698801497085,0.15541231694366206
0.263,0.005041423829466928,0.06547302473875172,0.15615328889614727
0.264,0.005060778290788705,0.06583920236149297,0.156894267264498
0.265,0.0050801337724040475,0.06620653529347936,0.15763606448005993
0.266,0.0050994898712047095,0.0665754773075674,0.15837796859944922
0.267,0.0051188480429732374,0.06694506857340522,0.15912005489084774
0.268,0.005138206852682945,0.06731505578060475,0.1598621800826179
0.269,0.005157568465879596,0.06768638663858113,0.16060441614858756
0.27,0.005176931176769065,0.06805808108108873,0.1613471695454597
0.271,0.005196299352379441,0.06843012710938108,0.16209137578148985
0.272,0.005215669768144624,0.06880241127331958,0.1628356281122295
0.273,0.00523504295840962,0.06917864660300098,0.1635805181370004
0.274,0.005254417028825914,0.06955603661987685,0.1643254133057538
0.275,0.005273793722821784,0.06993518168742406,0.16507056922438132
0.276,0.00529317144309579,0.07031497856535829,0.1658157475401762
0.277,0.005312549848123588,0.07069614763084088,0.16656225741035877
0.278,0.005331928263116802,0.07107766814110236,0.1673089704091895
0.279,0.00535130669058069,0.07145936389740756,0.16805686673384668
0.28,0.005370686784343073,0.07184106925765749,0.1688049548514259
0.281,0.005390067506885596,0.07222347097254181,0.16955354386018934
0.282,0.005409448735214769,0.07260660554929248,0.17030283937604215
0.283,0.005428830199201976,0.07298999294471817,0.17105228212670073
0.284,0.005448215846730109,0.07337545640491695,0.17180207782907003
0.285,0.005467603557427299,0.07376352326691508,0.1725518770949611
0.286,0.005486992022224701,0.07415325228135441,0.17330171550326837
0.287,0.005506382353050202,0.0745435879370823,0.17405218015647111
0.288,0.005525775904094455,0.0749346758884903,0.17480291044410903
0.289,0.005545170991478954,0.07532579090483452,0.17555468764478352
0.29,0.00556456655419487,0.07571734483517938,0.17630677384553722
0.291,0.005583963935112146,0.07610953878378716,0.17705958175573205
0.292,0.0056033644031862,0.0765021394988422,0.1778128233625941
0.293,0.005622765247022472,0.07689596844277799,0.17856653344621806
0.294,0.005642167018897393,0.07728982452964919,0.17932103335122213
0.295,0.005661570099954047,0.07768513871673106,0.1800759413961373
0.296,0.0056809744744479845,0.078081666305082,0.1808309572383712
0.297,0.005700379463869106,0.07847858003549658,0.18158607301507382
0.298,0.005719786126191711,0.07887658675875571,0.18234179405131093
0.299,0.0057391936764335065,0.07927766101623801,0.18309761518953693
0.3,0.005758602897323146,0.07968081885941243,0.18385373461436466
0.301,0.005778012389811041,0.08008547468699767,0.18461055034304782
0.302,0.005797421933733675,0.08049031366757146,0.18536781349344497
0.303,0.005816831633459262,0.08089589684119926,0.18612559151589955
0.304,0.00583624349636087,0.08130257583323033,0.1868836214185027
0.305,0.00585565719159029,0.08171064121068587,0.18764403713175012
0.306,0.005875073945594089,0.08211889032443673,0.18840468182110637
0.307,0.0058944915959654705,0.08252739755959673,0.18916665949240713
0.308,0.0059139103243377135,0.08293622326480919,0.18992965555558364
0.309,0.005933330246029388,0.08334644978236835,0.19069289521272678
0.31,0.0059527523131868735,0.08375763050014312,0.19145648348190958
0.311,0.0059721749439859235,0.0841688128837972,0.19222144299975238
0.312,0.0059916026500339975,0.08458120090010568,0.19298653177719863
0.313,0.006011030377981723,0.08499542663071637,0.19375202415683074
0.314,0.006030458841801455,0.08540996533040704,0.19451953830095822
0.315,0.006049888063525102,0.08582539309062422,0.19528787692731378
0.316,0.0060693178585033885,0.08624164349025602,0.1960582570760714
0.317,0.006088751539798163,0.08665870321367128,0.19682923001493427
0.318,0.006108185977701148,0.08707595274416768,0.1976006296189031
0.319,0.0061276218551347215,0.087494817302154,0.19837325472375397
0.32,0.006147059140821609,0.08791375764738268,0.19914604680481518
0.321,0.0061664965379158755,0.08833316097871878,0.1999200657146526
0.322,0.006185934309511467,0.08875260793733948,0.20069467671123764
0.323,0.006205373454476513,0.08917531332917862,0.2014701266948548
0.324,0.006224813988657726,0.08960000129817756,0.2022459153746883
0.325,0.006244257110059391,0.09002474787142534,0.2030221239639404
0.326,0.006263701476774967,0.09045202384773524,0.203798405171867
0.327,0.00628314648184216,0.09088005488485047,0.2045752298695896
0.328,0.006302591953515243,0.09130833221339656,0.20535238560859265
0.329,0.006322038376625106,0.0917386843124841,0.20612975273189307
0.33,0.006341486167333979,0.09216962863811473,0.20690734999083404
0.331,0.006360934778737803,0.09260100355848058,0.20768541609812946
0.332,0.006380384965863681,0.09303399541802436,0.20846408254703463
0.333,0.006399838006343937,0.09346799203840582,0.20924367773450991
0.334,0.0064192919216995705,0.09390256627979668,0.21002409303963793
0.335,0.0064387461446947115,0.09433789243392707,0.21080579306419434
0.336,0.006458200926256005,0.0947748613492688,0.21158985831300825
0.337,0.00647765690145295,0.09521271790432206,0.21237479001454365
0.338,0.006497113113805572,0.09565094089077707,0.21316062768558883
0.339,0.006516571753594739,0.09609093891117505,0.21394810752239438
0.34,0.0065360305435885864,0.09653241024276304,0.21473642766167625
0.341,0.006555491246039292,0.09697448598524111,0.21552498871538314
0.342,0.006574952581415545,0.09741856237432762,0.21631383826143039
0.343,0.0065944165019909086,0.09786369382477347,0.21710311455517092
0.344,0.006613882017118945,0.09830961970982442,0.21789246609006313
0.345,0.006633350428463643,0.09875576887202683,0.21868192459061053
0.346,0.006652818991072455,0.09920365619158047,0.21947151750335034
0.347,0.00667228789637408,0.09965188793806252,0.22026147042792682
0.348,0.0066917609910641185,0.10010358804889598,0.22105166346297755
